# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
	10.ca.27@4@a-motv-2-4@<i>Да уж... Моя мама полна сюрпризов... Сама включила порно, легко согласилась снять полотенце и делает такое... Ух... Кажется, в этот раз мне и правда... лучше...</i>|<i>Mom ist heute voller Überraschungen. Sie machte Pornos an, nahm das Handtuch ab und macht das ganz allein.... Heute ist es wirklich besser!</i>
		10.ca.28^		<i>кончить!</i>|<i>spritzen!</i>

	10.ca.28@75@a-motv-2-5@Ого, сынок! У тебя получилось? Поздравляю! И ты очень вовремя это сделал, потому что я уже хотела остановиться, потому что рука очень устала...|Großartig, Sohn! Herzlichen Glückwunsch. Ich wollte gerade aufhören, weil ich müde wurde.
		10.ca.29^		С-спасибо, мам...|Danke, Mom

	10.ca.29@67@p-mtv-6@Да не за что, сынок... Видимо, всё дело было в фильме. Похоже, тебя обычная эротика, пусть и очень откровенная уже не возбуждает... Ладно, одевайся, я тут приберусь...|Gern geschehen, mein Sohn. Ich schätze, der Film hat wirklich geholfen. Sieht so aus, als ob Erotik nicht mehr reicht, huh.... Okay, zieh deine Hosen an und geh, ich räume hier oben alles auf.
		leave!lock!set_dcd.motv_3!max_cam.4.grow_300!set_motv_3^		Ага!|Okay

	10.ca.30@62@Макс, тебе не кажется, что это слишком? Чем чаще мы делаем такое, тем больше шансов, что нас кто-то заметит...|Ist das nicht zu viel, Max? Wir machen das zu oft, ich habe Angst, erwischt zu werden.
		10.ca.31^		Да не заметит!|Es wird alles wieder gut!

	10.ca.31@67@Ну... Хорошо. Думаю, нет смысла включать твою эротику. Давай посмотрим что-то из моей коллекции...|Nun ja.... Okay. Kein Grund, weiche Erotik einzuschalten, ich wähle etwas aus meiner Sammlung.
		10.ca.32^		С удовольствием, мам!|Großartig!

	10.ca.32@69@a-motv-3-1@Надеюсь, в этот раз у тебя не будет никаких проблем...|Ich hoffe, du hast diesmal keine Probleme.
		10.ca.33^		Ага...|Ja ja

	10.ca.33@4@a-motv-3-2@<i>Да уж, фильмы у мамы поинтереснее того, что мне удалось достать... Интересно, что ещё есть в её коллекции?</i>|<i>Mom hat ein paar coole Filme in ihrer Sammlung. Ich frage mich, was sie sonst noch hat....</i>
		10.ca.34^		<i>смотреть</i>|<i>beobachten</i>

	10.ca.34@3@a-motv-3-3@<i>Ого... Мама без разговоров сняла с себя полотенце и взяла в руку мой член! Вот это я понимаю, сервис...</i>|<i>Wow, Mom hat gerade ihr Handtuch abgenommen und meinen Schwanz ganz alleine gepackt! Ich musste kein Wort sagen!</i>
		10.ca.35^		<i>смотре?ь</i>|<i>weiter beobachten</i>

	10.ca.35@69@a-motv-3-4@Ой, сынок... Ты извини, что я это всё сделала без твоего разрешения... Просто увидела, что ты возбудился и подумала...|Ist es okay für dich, wenn ich das tue, ohne zu fragen, Sohn? Ich sah dich nur aufgeregt und dachte....
		10.ca.36^		Да всё в порядке, мам!|Alles ist perfekt, Mom! Mach dir keine Sorgen.

	10.ca.36@67@a-motv-3-5@Ты близко? А то моя рука уже устала... Неужели, этот фильм тебя не возбуждает?|Bist du in der Nähe? Meine Hand ist müde. Gefällt dir der Film nicht?
		10.ca.37^		Мам, всё хорошо!|Alles ist großartig, Mom!

	10.ca.37@73@a-motv-3-6@Ну как? Я уже больше не могу это делать руками... Похоже, у тебя до сих пор что-то не в порядке... Придётся прерваться...|Ich kann das nicht mehr, meine Hand tut weh. Ich glaube, du hast immer noch dein Problem.... Wir müssen hier unterbrechen.
		10.ca.38^		И что мне делать?|Was soll ich jetzt tun?

	10.ca.38@69@a-mtv-1@Я даже не знаю... Конечно, оставлять тебя в таком состоянии опасно, это же вредно для здоровья... Да и девчонок распугаешь... Ладно, есть одна идея...|Ich weiß es nicht. Ich sollte dich nicht so zurücklassen, das ist schlecht für deine Gesundheit. Ich habe vielleicht eine Idee....
		10.ca.39^		Какая?|Welche Idee?

	10.ca.39@60@a-mtv-2@Очень плохая идея. Но если и она не поможет, то я не знаю. Придётся идти к врачу... Но учти, я это делаю только с целью помочь твоему здоровью...|Eine sehr schlechte Idee, aber wenn das auch nicht hilft, dann weiß ich nicht, was ich tun soll.... Wir müssen zum Arzt gehen. Und denk dran, ich tue das nur für deine Gesundheit!
		10.ca.40^		Ой, спасибо тебе!|Ich danke dir so sehr!

	10.ca.40@67@a-mtv-3@Пока не за что. И Макс... поглядывай по сторонам. Если кто-то начнёт спускаться или придёт, дай мне знать, чтобы мы успели прикрыться и выключить фильм...|Nichts, wofür man dankbar sein könnte. Und pass auf, ich <b>bin nicht</b> scharf darauf, gerade jetzt erwischt zu werden.
		10.ca.41^		Хорошо, мам...|Okay, Mom

	10.ca.41@4@a-mtv-5@<i>Вот это да! Я просто обожаю свою маму! Столько инициативы и такая забота о... моём здоровье? Ну да, ну да... Но как же это приятно!</i>|<i>Ich habe die beste Mutter der Welt! So viel Sorgfalt und Initiative für.... Meine Gesundheit? Da bin ich mir nicht sicher.... Fühlt sich aber toll an!</i>
		10.ca.42^		<i>далее</i>|<i>fortfahren</i>

	10.ca.42@5@a-mtv-6@<i>Я просто обожаю свою маму! И... тётю Киру за то, что она дала мне ту таблетку... Без неё я бы кончил ещё в начале фильма!</i>|<i>Ich bin so glücklich, so eine tolle Mutter zu haben! Und Tante Kira auch, ohne ihre Pillen wäre ich schon am Anfang des Films gekommen</i>
		10.ca.43^		<i>далее</i>|<i>fortfahren</i>

	10.ca.43@60@a-mtv-2@Сынок, ты до сих пор не кончил? Несмотря на все мои усилия? Похоже, у тебя и правда какая-то проблема...|Du bist immer noch nicht gekommen? Nach allem, was ich getan habe? Ich glaube, du hast eine Krankheit.
		10.ca.44^		Да может быть пройдёт...|Vielleicht wird es mir besser gehen?

	10.ca.44@69@Но это же не нормально. Я имею в виду то, что ты не кончаешь даже при таких условиях... Я так старалась... Раньше ты бы кончил от одной мысли, скорее всего...|Das ist nicht normal, Sohn. Solltest du nicht einfach von einem Gedanken an dieses Ereignis kommen?
		10.ca.45^		Ну может день такой сегодня...|Vielleicht bin ich einfach nur müde oder so....

	10.ca.45@60@Ладно. Тебе виднее. Надеюсь, это пройдёт... Давай одевай шорты, а то я слышу какие-то звуки...|Nun, du solltest dich selbst besser kennen als ich, also Vielleicht...... Zieh deine Shorts an, ich glaube, ich höre jemanden in der Nähe.
		leave!lock!set_dcd.motv_3!set_motv_4!add_iron_1!max_cam.4.grow_300!add_sideeffect_1^		Спасибо, мам...|Danke, Mom

	10.ca.46@69@Ох, Макс... Не уверена я, что это хорошая идея... К тому же, у тебя проблемы. Может быть, не стоит тебе лишний раз возбуждаться?|Ich bin mir nicht sicher, ob das eine gute Idee ist, Max. Besonders mit deinem neuen Zustand. Vielleicht solltest du dich gar nicht erst aufregen?
		10.ca.47^		Ну мне нужна разрядка...|Dafür ist es schon zu spät.

	10.ca.47@67@Хм... Ну если так... Ладно, включу тот же фильм, а то другие у меня немного из другой серии, не стоит их смотреть вместе. Ну что, снимай шорты и постарайся расслабиться...|Oh.... Ich schätze, ich werde den Film, den wir das letzte Mal gesehen haben, anmachen. Du kannst deine Shorts ausziehen und dich neben mich setzen. Versuch dich zu entspannen, Sohn.
		10.ca.48^		Конечно, мам!|Okay, Mom

	10.ca.48@4@a-motv-3-3@<i>Да... у меня лучшая мама на свете! Уж она точно знает, что надо её сыну... Такие нежные, но сильные ручки... А может быть, ещё и до минета дело дойдёт...</i>|<i>Meine Mutter weiß es definitiv am besten! Was ich jetzt noch wollen könnte.... Ihre Hände sind so sanft.... Vielleicht bekomme ich sogar einen Blowjob....</i>
		acmh=0&10.ca.49^		<i>далее</i>|<i>fortfahren</i>
		acmh=1&11.db.22^		<i>далее</i>|<i>fortfahren</i>
		acmh>1&10.ca.49^		<i>далее</i>|<i>fortfahren</i>

	10.ca.49@3@a-motv-3-4@<i>Жаль, что та таблетка действует непредсказуемо... То железный стояк, то кончаю когда попало... Но может быть, в этот раз повезёт и дойдёт до...</i>|<i>Zu schade, dass die Pille so unberechenbar ist. Vielleicht habe ich diesmal Glück und....</i>
		random.luck.50=0&10.ca.50a^		<i>кончить!</i>|<i>spritzen!</i>
