# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
	07.acm.10@22@Макс, конечно, озабоченный придурок, но мы то с тобой тоже хороши... Ладно, давай это всё останется между нами. Маме об этом знать не обязательно, как и про ваши уроки. Договорились, Лиза?|Max ist natürlich ein perverser Idiot, aber wir sind auch daran schuld.... Okay, die ganze Situation bleibt unter uns. Mom muss nichts über meine Streams wissen, genau wie sie nichts über deine Sex-Unterricht wissen muss. Abgemacht, Lisa?
		07.acm.11^		Я не озабоченный!|Ich bin kein Perverser!
		07.acm.11^		Я не придурок!|Ich bin kein Idiot!

	07.acm.11@41@Ладно, Алиса. Справедливо. Сделаю вид, что ничего не было. Блин, ну что у нас за семейка...|Deal. Ich tue so, als hätte ich nichts gesehen. Was für eine Familie ist das?
		07.acm.12^		<i>далее</i>|<i>fortfahren</i>

	07.acm.12@25@p-blog-11@Макс, а тебя, я вижу, вся эта ситуация даже возбуждает. Трахаешь своих сестёр и не думаешь, что это как-то неправильно?|Diese Situation hat dich ganz schön verärgert, was, Max? Du fickst deine beiden Schwestern und glaubst nicht, dass etwas nicht stimmt?
		07.acm.13^		Ну вам же нравится!|Ihr beide mögt es!

	07.acm.13@22@Это ничего не значит. Может быть, нам прекратить эти совместные веб-трансляции?|Das bedeutet gar nichts. Vielleicht sollten wir unsere Streams stoppen?
		07.acm.14^		А как же деньги?|Was ist mit dem Geld?

	07.acm.14@23@Опять ты за своё... Деньги мне нужны. А, ладно. В конце концов, это же не в первый раз, да и Лиза как-то не особо расстроилась. Я думала, что сейчас побежит к маме... Ну, рассказывай, как у вас это происходит?|Schon wieder das Geld.... Ich brauche das Geld, ja. Eh, was auch immer. Das ist nicht das erste Mal und Lisa sah nicht allzu verärgert aus. Ich hatte Angst, sie würde zu Mom rennen.... Also, sag mir, wie machst du das?
		07.acm.15^		Э... что именно? Ничего не происходит...|Em.... Wovon redest du? Wir tun nichts....

	07.acm.15@22@p-blog-16@Ой, Макс, завязывай. Давай я тебе помогу вспомнить, а ты рассказывай, что там на ваших уроках с тётей Кирой происходит?|Komm schon, Max. Wie wäre es, wenn ich dein Gedächtnis stimuliere, während du mir von Tante Kira's Lektionen erzählst?
		07.acm.16^		Ох... А тётя разве всё не рассказала?|Oh.... Hat sie dir nicht schon alles erzählt?

	07.acm.16@25@Нет, она только лишь заикнулась, а дальше я сама догадалась. Но похоже, что попала прямо в точку. Значит, ты трахаешь мою младшую сестрёнку... Да ещё и под присмотром моей же тёти, верно?|Nein, sie hat sie nur erwähnt und ich habe den Rest vermutet. Und nach Lisas Reaktion zu urteilen, habe ich es richtig verstanden. Also, du fickst deine kleine Schwester, huh.... vor deiner Tante, richtig?
		07.acm.17^		Ну...|Nun....

	07.acm.17@21@Ясно... А в какое время вы это делаете? Ночью, пока все спят?|Ich verstehe... Wann machst du das? Nachts, wenn alle schlafen?
		07.acm.18^		Д..да...|J-Ja...

	07.acm.18@25@Хорошо, буду иметь в виду. Сомневаюсь, что меня пригласят на эти ваши уроки, но так я хотя бы знаю, когда можно понаблюдать... Только никому ни слова про меня, понял?|Okay, ich werde es mir merken. Ich bezweifle, dass du mich zu deinen Lektionen einlädst, aber wenigstens weiß ich, wann ich zusehen muss.... Erzähl niemandem von mir, okay?
		07.acm.19^		П-понял...|Okay

	07.acm.19@21@Если Лизе или тёте Кире проболтаешься, то трахать себя будешь сам... А теперь я немного ускорюсь, чтобы ты понял, что я бываю ещё и очень добра...|Wenn du es Lisa oder Tante Kira sagst, ist unsere Partnerschaft vorbei.... Ich werde mich beeilen, damit du weißt, dass ich auch nett sein kann....
		07.acm.20^		<i>кончить!</i>|<i>spritzen!</i>

	07.acm.20@33@p-blog-18@Ну вот, наша сделка скреплена... спермой... Ой, я забыла выключить трансляцию. Кажется, нам сегодня заплатили в несколько раз больше, чем обычно... Забавно...|Okay, jetzt wo unser Pakt mit....Sperma besiegelt ist..... Oh, ich habe vergessen, den Strom abzustellen. Huh, sieht so aus, als hätten wir eine ganze Menge mehr Geld als sonst.... Heh....
		07.acm.21^		Ага...|Ja ja...

	07.acm.21@21@p-blog-28@Макс, и вот ещё что... Если ты не хочешь, чтобы мама узнала, что ты трахаешь Лизу, то иногда ты будешь делать то, что я тебя попрошу. И это не вопрос. Ну всё, тебе пора. Шорты не забудь.|Und noch etwas anderes. Wenn du nicht willst, dass Mom herausfindet das du und Lisa ficken, wirst du manchmal tun, was ich will. Das ist keine Bitte. Okay, jetzt geh. Vergiss deine Shorts nicht.
		leave!set_bloc_0!set_blol_2!time^			Блин...|Mist......



# --- 0.7: Разговор с Лизой после того, как она застукала Макса с Алисой

	07.acn.0.init@0@Я и Алиса...|Alice und ich....
	07.acn.0@42@Макс, мне совершенно не интересно. Делайте что хотите!|Ist mir egal, Max. Mach, was du willst!
		07.acn.1^		Но дай объяснить...|Lass mich nur erklären....

	07.acn.1@44@Да я уже всё поняла. Трахаешь меня, трахаешь Алису. Кого ещё? Ах да, Киру. Может быть и до мамы добрался, извращенец?|Ich hab's schon. Du fickst mich, Alice. Wen noch? Oh, richtig, Tante Kira. Vielleicht bist du auch Mom, du Perverser!?
		07.acn.2^		Ты была не против...|Es machte dir nichts aus....
		07.acn.2b^		До мамы? Нет ещё...|Noch nicht....

	07.acn.2b@49@Что?! Макс! Ну ты и придурок... Я доверилась тебе... Говоришь, что ты мой брат, даже парень, а сам... изменяешь с нашей же сестрой!|Was!? Du bist so ein Idiot.... Ich habe dir vertraut.... Du sagst, du bist mein Bruder, sogar mein Freund, und dann.... Du betrügst mich mit unserer eigenen Schwester!
		07.acn.3^		Постой, ты что, ревнуешь?|Warte, bist du eifersüchtig?

	07.acn.2@46@Это всё твоя вина. Доверилась тебе... Говоришь, что ты мой брат, даже парень, а сам... изменяешь с нашей же сестрой!|Es ist alles deine Schuld. Ich habe dir vertraut.... Du sagst, du bist mein Bruder, sogar mein Freund, und dann.... Du betrügst mich mit unserer eigenen Schwester!
		07.acn.3^		Постой, ты что, ревнуешь?|Warte, bist du eifersüchtig?

	07.acn.3@42@Вот ещё! Да делайте что хотите, только меня не трогай...|Das wünschst du dir! Du kannst tun, was du willst, aber fass mich nicht mehr an....
		07.acn.4^		Я могу тебя переубедить?|Kann ich deine Meinung ändern?

	07.acn.4@40@Переубедить в чём? В том, что ты ведёшь себя как козёл? Ну, попробуй...|Mit was? Mit der Tatsache, dass du ein Arschloch bist? Sicher, versuch es....
		07.acn.5^		Я вас обеих очень люблю. Вы же мои родные сёстры!|Ich liebe euch beide so sehr. Ihr seid meine Schwestern!

	07.acn.5@41@И поэтому ты нас трахаешь? Спасибо, что не одновременно, кстати...|Und deshalb fickst du uns? Danke, dass du es nicht gleichzeitig machst, nebenbei bemerkt....
		07.acn.6^		А что, хочешь?|Möchtest du das?
		07.acn.6^		А что, это идея!|Das ist eine gute Idee!

	07.acn.6@42@Макс, ну ты и придурок! Иди отсюда!|Du bist so ein Idiot, Max! Raus hier!
		07.acn.7^		Да шутки у меня такие, ты же меня знаешь...|Komm schon, ich habe nur Spaß gemacht, du kennst mich doch....

	07.acn.7@46@Вот именно, что знаю... И даже зная это, согласилась с тобой трахаться... Видимо, я тебя стою...|Genau, ich weiß, was du bist.... Und ich habe trotzdem zugestimmt, bei dir zu sein.... Ich schätze, das ist es, was ich wert bin....
		07.acn.8^		Я тебя люблю!|Ich liebe dich!

	07.acn.8@48@Макс, я тоже тебя люблю... Как брата. Может быть, чуть больше даже... А насчёт Алисы. Её я тоже люблю. И мне правда стало обидно, что ты с ней, а не со мной, в какой-то момент...|Ich liebe dich auch, Max.... Als Bruder. Vielleicht sogar ein bisschen mehr.... Und ich liebe Alice auch. Und ich mochte es wirklich nicht herauszufinden, dass du bei ihr bist und nicht bei mir....
		07.acn.9^		Но я же и с тобой...|Aber ich bin auch bei dir....

	07.acn.9@40@Ладно, будем считать, что разобрались с этим. Я больше на тебя не обижаюсь, но постарайся не делать это настолько открыто, пока все дома, да ещё и дверь любой может открыть...|Gut, nehmen wir an, wir haben das geklärt. Ich werde nicht mehr sauer sein, aber versuche es nicht so offen zu tun. Jeder ist zu Hause, jeder kann jederzeit die Tür öffnen....
