# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

	05.les7.17@113@m-k-35@Ну всё, Макс, ты уже ложись спать, время позднее. Ну а мы в душ, а я потом тоже спать. Так что, не жди... Спокойной ночи!|Okay, Max, du kannst jetzt schlafen, es ist spät. Wir duschen und dann schlafen wir auch, also warte nicht auf uns. Gute Nacht.
		leave!set_kiravisit_8!set_kiranight_3!set_dcd.kiranight_4!set_poss.sed_36!add_count.liza.anal_1!max_cam.0.grow_300^			Спокойной ночи!|Gute Nacht



# --- 0.5: периодический эвент с анальным сексом|periodisch anal, Kira & Lisa

	05.anles.0@114@m-k-34@А ты почему до сих пор в трусах? Бегом со мной в ванную, Лиза!|Warum bist du nicht nackt? Geh baden, Lisa!
		05.anles.1^		Ой, тётя Кира...|Hey, Tante Kira.

	05.anles.0alt@114@m-k-33@Доброй ночи! Чего не спим? Кто-то хочет потрахаться? Бегом со мной в ванную, Лиза!|Hallo, alle zusammen! Warum bist du wach, jemand will ficken? Geh baden, Lisa!
		05.anles.1^		Ой, тётя Кира...|Hey, Tante Kira.

	05.anles.1@113@m-k-35@Кто же ещё... Пришло время занятий, а вы тут спать вздумали... Побежали, Лиза, нас ждёт интересная ночь! Макс, а ты...|Wer sonst könnte es sein.... Es ist Unterrichtszeit, und du schläfst stattdessen.... Komm schon, Lisa, wir haben eine interessante Nacht vor uns! Und Max....
		05.anles.2^		Точно. Я уже готовлюсь... Жду вас...|Ja, ich mache mich schon fertig.

	05.anles.2@101@m-k-36@Девочки вернулись! Макс, пока ты на мне разогреваешься, вставляй пробку сестрёнке...|Und wir sind zurück! Max, fang mit mir an und steck einen Plug in deine Schwester.
		05.anles.3^		Конечно!|Sicher!

	05.anles.3@114@m-k-45@Очень хорошо. Я так рада, что у меня такие способные ученики... Ну всё, хватит болтать, приступай, моя попка ждёт тебя!|Sehr gut. Ich bin so froh, Studenten wie euch zu haben. Genug geplaudert, fang an, mein Arsch ist bereit für dich!
		05.anles.4^		Всегда готов!|Und ich bin immer bereit!

	05.anles.4@113@m-k-47@Да, Макс, да... быстрее... Ещё быстрее! Ой.. Я не слишком громко? А, не важно... давай же, покажи на что ты способен!|Ja, Max, ja.... schneller... Schneller! Oh.... Ich bin nicht zu laut, oder? Spielt keine Rolle.... Zeig mir, was du drauf hast!
		05.anles.5^		<i>ускориться</i>|<i>mach schneller</i>

	05.anles.5@101@m-k-51@Лиза, ты всё знаешь... После прошлого раза, я так понимаю, твоя попка уже отошла? Пришло время повторить урок...|Du weißt, was zu tun ist, Lisa.... Du bist doch nach unserem letzten Mal okay, oder? Es ist Zeit, die Lektion zu wiederholen.
		05.anles.6^		Ух...|Oh...

	05.anles.6@42@m-k-52@Хорошо... Только если Макс не будет в меня кончать. Я тогда пол ночи в душе провела...|Okay.... Aber komm nicht in mir, Max. Ich habe letztens die ganze Nacht unter der Dusche verbracht....
		05.anles.7^		Не жалуйся!|Hör auf, dich zu beschweren

	05.anles.7@114@m-k-54@Да, Макс, у тебя уже всё получается и без слов... Молодец, хороший ученик. Я тобой горжусь! Вообще, вы оба молодцы! Я от Лизы не ожидала такого энтузиазма, а смотри, сама тянется уже...|Du bist wirklich gut darin, Max. Du bist so ein toller Schüler, ich bin stolz auf dich! Ihr seid beide großartig! Ich habe diese Begeisterung nicht von Lisa erwartet, aber sieh sie dir jetzt an....
		05.anles.8^		Ага...|Ja...

	05.anles.8@112@m-k-53@Макс, только не перестарайся... Я вижу, что даже Лиза увлеклась, но может быть... ты будешь менять партнёрш иногда?|Komm noch nicht, Max.... Sieht so aus, als ob Lisa sich wirklich damit beschäftigt, aber vielleicht solltest du ab und zu mal den Partner wechseln?
		05.anles.9^		Да, да, сейчас...|Ja, ja...

	05.anles.9@101@m-k-56@О да... Как же ты хорош, Макс... Давай, быстрее, ещё... И о сестрёнке не забывай...|Oh, ja.... Du bist so gut, Max.... Schneller! Und vergiss deine Schwester nicht.
		05.anles.10^	Ко?ечно!|Natürlich!

	05.anles.10@114@m-k-53@Ого... В этот раз ты вошёл в неё почти без сопротивления... Очень хорошо...|Wow! Diesmal bist du fast widerstandslos in sie eingedrungen.... Sehr gut....
		05.anles.11^	Очень...|Ja...!

	05.anles.11@112@m-k-57@Так, ну давай его сюда. Я уже вижу, что ты вот-вот кончишь. Ты же не хочешь огорчать Лизу? А меня порадовать, а Макс?|Okay, gib ihn mir. Ich kann sehen, dass du in der Nähe bist. Du willst Lisa doch nicht verärgern, oder? Wie wäre es, wenn du mich stattdessen glücklich machst?
		05.anles.12^	Конечно!|Natürlich!

	05.anles.12@41@m-k-60@Если бы ты его не остановила, он бы точно всё опять выплеснул в меня! Спасибо, тётя Кира...|Gut, dass du ihn aufgehalten hast, sonst wäre er wieder in mir gekommen! Danke, Tante Kira.
		05.anles.13^	<i>кончить!</i>|<i>spritzen!</i>

	05.anles.13@43@m-k-59@Ой... Ты так ловко всё проглотила! У меня так не получается пока...|Wow, du hast seine ganze Ladung so mühelos verschluckt! So kann ich das noch nicht machen....
		05.anles.14^	Надо больше тренироваться!|Du brauchst nur mehr Übung.

	05.anles.14@114@m-k-58@Верно, Лиза! Всё приходит с опытом... Ещё недавно для вас наибольшим удовольствием было себя потрогать, а теперь на что вы способны... голова кругом!|Das ist richtig. Du wirst es schaffen. Vor nicht allzu langer Zeit habt ihr nur mit euch selbst gespielt, und jetzt schaut euch an....
		05.anles.15^	О да...|Ja

	05.anles.15@113@m-k-61@Ну всё, на сегодня занятие окончено. Если захотите повторить, вы знаете где меня искать, да Макс?|Okay, das ist das Ende der heutigen Lektion. Wenn ihr es wiederholen wollt, wisst ihr, wo ihr suchen müsst. Stimmt's, Max?
		05.anles.16^	Конечно, тётя Кира!|Natürlich, Tante Kira!

	05.anles.16@101@m-k-33@И без меня не трахайтесь! Во-первых, тут нужен пристальный надзор с твоим агрегатом... А во-вторых, мне очень нравится ваша компания, конечно же! Ну всё, спокойной ночи, мои дорогие...|Und fick nicht ohne mich! Erstens, du brauchst immer noch Aufsicht, und zweitens.... Ich mag deine Gesellschaft! Nun, Gute Nacht, alle zusammen.
		leave!set_kiranight_3!set_dcd.kiranight_3!max_poss.sed_37!add_count.sles_1!add_count.liza.anal_1!lizanaked!set_dcd.crazy_4!max_cam.0.grow_300!add_sexz_1^			Спокойной ночи, тётя Кира!|Gute Nacht, Tante Kira!



# --- 0.5: Приглашение Киры на ночной урок|Kira zu einer weiteren Nachtstunde einzuladen.

	05.kinv.0.init@0@Какие у тебя планы на ночь?|Hast du irgendwelche Pläne für heute Abend?
	05.kinv.0@113@Ой, кто-то соскучился по моим урокам?|Oh, jemand vermisst meine Lektionen?
		05.kinv.1^		Как будто ты не соскучилась по... сама знаешь чему...|Als ob du nicht willst.... du weißt schon.

	05.kinv.1@114@Ну да, есть такое... Не знаю даже что меня заводит больше - твой член в моей попке или то, что это происходит на глазах у твоей сестрёнки...|Ja.... Ich weiß nicht mal, was aufregender ist: dein Schwanz in meinem Arschloch oder die Tatsache, dass es direkt vor deiner Schwester passiert....
		05.kinv.2^		А меня и то и другое!|Beides!

	05.kinv.2@112@В таком случае, я обязательно приду. Если ничего другого не случится, конечно. В общем, я постараюсь...|Ich werde da sein. Ich werde es versuchen, meine ich.
		leave!set_kiranight_1^			Хорошо, будем ждать!|Okay, wir werden warten!



# --- 0.5: Туннельный синдром|Karpaltunnelsyndrom

	05.kamst.0.init@0@Чего такая довольная?|Warum bist du so glücklich?
	05.kamst.0@114@Да вот, сижу думаю как раз про тебя. Жалуются на тебя...|Oh, Max, ich habe gerade an dich gedacht. Die Leute beschweren sich über dich.
		05.kamst.1^		Э... Кто?|Em... Wer?
