# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
		money>69&alisa.needmoney.small!add_money_-70!add_alisa.mood_100!set_dcd.alisaneedmoney_1!add_alisa.inf_-15^				$70 устроит?|Sind $70 gut genug?
		money>199&alisa.needmoney.large!add_money_-200!add_alisa.mood_150!set_dcd.alisaneedmoney_1!add_alisa.inf_-25^			$200 устроит?|Sind $200 gut genug?
		money>349&alisa.needmoney.large!add_money_-350!add_alisa.mood_250!set_dcd.alisaneedmoney_1!add_alisa.inf_-40^			$350 устроит?|Sind $350 gut genug?
		leave!set_dcd.alisaneedmoney_4!add_alisa.mood_-50^																		Денег нет...|Es tut mir leid, ich habe keine

	alisa.needmoney.small@31@Конечно! Если ещё будут, неси. Пока ты думаешь что с ними делать, я найду им применение! И да, спасибо, Макс!|Natürlich! Wenn du noch mehr hast, nehme ich es gern! Ich werde eine Verwendung dafür finden, kein Problem! Und danke, Max!
		leave^	Не за что!|Gern geschehen!

	alisa.needmoney.large@30@Конечно! Макс! Откуда у тебя такие деньги? Ты же дома сидишь... Хотя, не важно. Спасибо тебе огромное!|Wow, Max! Woher hast du so viel Geld, wenn du den ganzen Tag zu Hause sitzt....? Ah, das spielt keine Rolle. Vielen Dank, Max!
		leave^	Не за что!|Gern geschehen!



# --- 0.3: Разговор с Алисой насчёт массажа, который делает Эрик|Max fragt Alice nach Erics Massagen

	alisa.aboutmassx.init@0@Я видел, что Эрик делал тебе массаж...|Ich habe gesehen, wie Eric dich massiert hat.
	alisa.aboutmassx@22@Только не говори, что ты случайно мимо проходил. Наверняка подглядывал или через балкон, как обычно, или дверь открыл?|Oh, und bist du zufällig vorbeigekommen? Hast du auf dem Balkon gespioniert oder hast du die Tür geöffnet?
		alisa.aboutmassx.1^			А это не важно! Что происходит?|Das spielt keine Rolle! Was ist hier los?

	alisa.aboutmassx.1@21@И что ты хочешь от меня услышать? Да, Эрик иногда делает мне массаж, пока мама принимает ванну. У него отлично получается, а ты знаешь, как я люблю массаж!|Was willst du von mir hören? Manchmal gibt mir Eric eine Massage, während Mom ein Bad nimmt. Und er ist wirklich gut darin. Du weißt, wie sehr ich Massagen liebe.
		alisa.aboutmassx.2^			Алиса, ты позволяешь себя лапать ему?|Alice, du lässt dich von ihm betatschen!

	alisa.aboutmassx.2@22@Во-первых, не лапать, а делать массаж. Тебе стоило бы поучиться как его делать правильно... А во-вторых, никто ни к кому не пристаёт. Шорты я не снимаю...|Zuerst einmal ist es nur eine Massage. Du solltest ein paar Lektionen von ihm nehmen. Und zweitens, niemand tut etwas Unangemessenes. Ich trage kurze Hosen....
		alisa.aboutmassx.3^			Да они у тебя как трусы!|Sie sind wie Höschen!

	alisa.aboutmassx.3@33@Что-то ты раньше на это не жаловался! В любом случае, мы всё выяснили, и я бы не хотела, чтобы ты нам мешал. Если хочешь, чтобы я обращалась только к тебе - научись делать массаж лучше Эрика!|Du hast dich vorher nicht beschwert! Wie auch immer, ich will nicht, dass du uns störst. Wenn du der Einzige sein willst, der mir eine Massage gibt - lerne, wie man sie besser macht als Eric!
		leave!set_alisa.talk.eric.mass_2^			Блин...|Scheiße....



# --- 0.4: Разговор с Катей|Beginn der Gespräche mit Kate

	kate.smoke@152@n-ks-1@Макс?|Max?
		kate.talk=0&kate.smoke.0.step.1!set_kate.talk_1!set_girlz.scene_1^		Э... мы разве знакомы?|Em.... Kennen wir uns?
		kate.talk=1&kate.smoke.1.step.1!set_kate.talk_2!set_girlz.scene_2^		Хорошая погодка, правда?|Schönes Wetter, meinst du nicht?
		kate.talk=2&kate.smoke.2.step.1!set_kate.talk_3!set_girlz.scene_3^		Привет, Кать...|Hi, Kate
		kate.talk=3&kate.smoke.3.step.1!set_kate.talk_4!set_girlz.scene_4^		Всё куришь...|Immer noch rauchend....
		kate.talk=4&kate.smoke.4.step.1!set_kate.talk_5!set_girlz.scene_5^		Привет...|Hi
		kate.talk=5&kate.smoke.5.step.1^										Привет...|Hi
		kate.talk=6&kate.smoke.6.step.1!set_kate.talk_7!set_girlz.scene_7^		Как дела?|Was gibt's denn?
		kate.talk=7&kate.smoke.5.step.1^										Куришь...|Immer noch rauchend....
		kate.talk=8&kate.smoke.8.step.1^										Как дела?|Was gibt's denn?
		kate.talk=9&kate.smoke.5.step.1^										Привет!|Hi!
		kate.talk=10&kate.smoke.10.step.1^										Как дела?|Was gibt's denn?
		kate.talk=11&kate.smoke.5.step.1^										Привет, Катя...|Hi, Kate
		kate.talk=12&kate.smoke.12.step.1^										Куришь?|Rauchen?
		kate.talk=13&kate.smoke.5.step.1^										Привет, Катя...|Hi, Kate
		kate.talk=14&kate.smoke.14.step.1^										Куришь?|Rauchen?
		kate.talk=15&kate.smoke.5.step.1^										Привет...|Hi
		kate.talk=16&kate.smoke.16.step.1^										Привет...|Hi
		kate.talk=17&kate.smoke.17.step.1^										Тут такое дело...|Ich möchte dich etwas fragen....
		kow=4&07.add.0^															У меня новости насчёт моей мамы...|Ich habe Neuigkeiten wegen unserer Mom.
		altway=1&05.asn.2^														Вообще-то, мне нужна твоя помощь|Eigentlich brauche ich deine Hilfe.
		item.bigganja=-5&05.kbg.0^												У меня большой пакет...|Ich habe dein großes Paket....



# --- 0.4: Знакомство с Катей, пока та курит|Treffen mit Kate zum ersten Mal.

	kate.smoke.0.step.1@151@Ты меня не узнал? Я Катя, подруга Алисы. Я пару раз приходила в гости к вам, ещё когда вы жили на прошлой квартире...|Erkennst du mich nicht? Ich bin Kate, Alices Freundin. Ich bin ein paar Mal in eure alte Wohnung gekommen.
		kate.smoke.0.step.2a^			Ну да, припоминаю...|Oh, richtig...
		kate.smoke.0.step.2b^			Нет, не помню...|Nein, ich kann mich nicht erinnern....

	kate.smoke.0.step.2a@153@Разве? А выглядишь так, как будто видишь меня впервые... Ну а я тебя помню. Ты уже тогда за сестрёнкой подглядывал, когда она в душ пошла. Тебя мать ещё отругала... забыл?|Du siehst aus, als ob du mich zum ersten Mal siehst.... Nun, ich erinnere mich an dich. Du hast deine Schwester beobachtet, als sie unter die Dusche ging. Deine Mutter hat dich erwischt.... Hast du das vergessen?
		kate.smoke.0.step.3^			Не было такого...|Ich kann mich an so etwas nicht erinnern.
		kate.smoke.0.step.3^			Ну да, похоже на меня...|Ja, klingt nach mir.

	kate.smoke.0.step.2b@153@Вот у тебя память. А я тебя помню. Ты уже тогда за сестрёнкой подглядывал, когда она в душ пошла. Тебя мать ещё отругала... забыл?|Nun, ich erinnere mich an dich. Du hast deine Schwester beobachtet, als sie unter die Dusche ging. Deine Mutter hat dich erwischt.... Hast du das vergessen?
		kate.smoke.0.step.3^			Не было такого...|Ich kann mich an so etwas nicht erinnern.
		kate.smoke.0.step.3^			Ну да, похоже на меня...|Ja, klingt nach mir.

	kate.smoke.0.step.3@159@Ясно. Ну, тогда давай официально... Я - Катя, ты - Макс, приятно познакомиться!|Ich verstehe. Nun, dann stellen wir uns einfach wieder vor. Ich bin Kate und du bist Max, schön, dich kennenzulernen.
		kate.smoke.0.step.4^			Ага, мне тоже...|Ja, ich auch

	kate.smoke.0.step.4@150@Я так понимаю, для вас это обычное дело, если кто-то посторонний ночью курит у бассейна?|Also, ich schätze, einen Fremden neben dem Pool zu treffen, ist eine normale Sache in diesem Haus?
		kate.smoke.0.step.5^			Вообще-то нет...|Nicht wirklich

	kate.smoke.0.step.5@152@Просто ты не сильно удивлён. Но ты не парься, я к Алиске в гости заскочила. Она уснула, а я вот решила потравиться чуток...|Hmm, du siehst nicht überrascht aus. Wie auch immer, keine Sorge, ich bin nur gekommen, um Alice zu sehen. Sie schläft jetzt, also habe ich beschlossen, eine Weile zu rauchen.
		kate.smoke.0.step.6^			А почему она курить не пошла?|Und warum wollte sie nicht mitkommen?

	kate.smoke.0.step.6@151@Я же сказала, она спит. Устала. Я её утомила своими... разговорами. Ладно, приятно было поболтать, увидимся в следующий раз.|Wie ich schon sagte, sie schläft. Ich habe sie mit meinem.... Gespräch erschöpft. Wie auch immer, schön, Sie kennen zu lernen, bis zum nächsten Mal.
