# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
		leave!set_dcd.masx_1!max_poss.car_50!max_cam.2.grow_300!max_mco_1!time!lock_momroom_5^		Я тоже, мам... я тоже...|Me too, mom. Me too



# --- 0.12: Разговор с Алисой насчёт съёмок Анны

	12.cd.0.init@0@Ты спрашивала про маму...|You wanted to know about mom...
	12.cd.0@22@Про то, нравится ли ей сниматься в таком порно или делает это ради денег?|You mean whether she likes doing that stuff or if she's just doing it for money?
		12.cd.1^		Ну да...|Yeah

	12.cd.1@20@Ага, удалось у неё что-то выяснить?|Okay, did you find out?
		12.cd.2^		Ага. Я уверен, что ей нравится...|Yeah, she definitely likes it

	12.cd.2@21@А я как говорила? На самом деле, я уже всё знаю. И с тётей болтала и даже с мамой... Ну и ты всё подтвердил...|I've told you! I already know, by the way. I've talked to mom and aunt. Nice to hear a confirmation from you too, though.
		12.cd.3^		И что теперь?|So, now what?

	12.cd.3@25@Я вот подумала... Если ей нравится такое к себе отношение, все вот эти наказания и прочее... Может быть, поэтому она нас наказывает?|I was thinking... Since she's enjoying it so much and we have this punishment system in our house... Do you think it might me why she's punishing us?
		12.cd.4^		Разве это не идея Эрика?|Wasn't that Eric's idea?

	12.cd.4@21@А вот теперь и не знаю, даже... Но у меня возникла ещё одна мысль... Может быть, мы можем ей как-то помочь?|I'm not sure, to be honest. Maybe he came up with it after he learned about mom's preferences...? It doesn't matter now, I have something else in mind. Maybe we could help her out somehow?
		12.cd.5^		Ты о чём?|What do you mean?

	12.cd.5@22@Блин, как бы это объяснить... Ну вот смотри, ей нравится, когда её шлёпают... У нас дома тоже есть такая традиция, но только наказывает она нас...|I can't believe I have to spell it out for you... Mom likes being spanked... We have a punishment system in out house... Can't you add two and two together?
		12.cd.6^		А ты хочешь, чтобы мы наказывали её?|You mean we should start punishing her?

	12.cd.6@25@Да! Именно! Даже я не сказала бы лучше. Вот только я не представляю как это обыграть, чтобы и она была не против и со стороны не было наигранно...|Finally! Yes. I don't know the specifics, though. She has to agree to that and it should look believable from the side, especially Lisa's...
		12.cd.7^		Хм. Значит, она должна провиниться...|That means she has to earn the punishment...

	12.cd.7@21@Верно... Вот только за что? Она вся такая правильная... Конечно, если забыть про то, что она делает на съёмках... Ну и с этим твоим синдромом...|Yeah, but... She's such a goody two-shoes, we'll never catch her doing anything improper. Well, if you don't count everything she does on the set... and with your syndrome...
		12.cd.8^		И что будем делать?|So, what do you want to do?

	12.cd.8@22@Не знаю. Если бы знала, не советовалась бы с тобой. Ладно, подумаю, может быть мне тётя что-то подскажет, спрошу её сама.|I don't know, otherwise I wouldn't ask you for advise. Maybe aunt Kira can come up with something. I'll ask her.
		12.cd.9^		А мне расскажешь?|Are you going to tell me?

	12.cd.9@21@Конечно! Ты же и будешь её наказывать. Мне знаешь, руки ещё дороги... Потом кисти больно... А вот как ты бы её отшлёпал, я бы посмотрела...|Of course, you're the one who's going to punish mom! I don't want to hurt my hands, you and Lisa are plenty for me... I'd like to watch you spank her, though...
		12.cd.10^		Ох...|Oh...

	12.cd.10@25@Ага, тоже нравится идея? Смотри не кончи от одной мысли! Ну всё, тебе пора...|So you like the idea? Don't cum just from thinking about it. Okay, you should go now...
		leave!set_pjob_9^			Ага, понял...|Okay, got it



# --- 0.12: Начало ветки Оливии (Макс должен пройти всё в кафе, чтобы получить доступ к этому эвенту)

	12.da.0.init@0@Как там дела у твоей подруги?|How are things at school?
	12.da.0@41@У моей подруги? Ты кого имеешь в виду? Оливию?|Pretty good. I became friends with Olivia, remember her?
		12.da.1^		Ну да...|Yeah

	12.da.1@48@Когда я тебе о ней рассказывала, мы не были подругами...|I don't think we were friends when I talked about her last time...
		12.da.2^		А сейчас?|And now?

	12.da.2@41@Ну ты знаешь, сейчас она сильно изменилась. У неё кое-какие проблемы в семье и сейчас Оливия уже не та стерва, какой она показалась сначала...|She's changed a lot recently. She has some family problems and surprisingly, she changed for the better. She's not the bitch she was before.
