# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
	kira.swim.night.n.1@114@e-kira-swim-night-5@Ну ты же знаешь, что в бассейн кончать не стоит? Но я могу немного тебе помочь, чтобы ты потом сам довёл дело до конца в другом месте...|Du weißt, dass du nicht in den Pool kommen solltest, oder? Ich kann dir ein bisschen helfen, aber du musst es woanders beenden.
		kira.swim.night.n.2^			Я только за!|Ich bin dafür!

	kira.swim.night.n.2@112@e-kira-swim-night-6@Не сомневаюсь... Скажи, ты же специально только ради этого момента не спал и ждал меня?|Ich bin sicher, dass du.... Du bist lange geblieben, nur damit wir so etwas machen können, oder?
		kira.swim.night.n.3^			Конечно, тётя Кира!|Natürlich nicht, Tante Kira!

	kira.swim.night.n.3@113@Забавно, что ты меня всё время тётей называешь... Но пусть так и будет. Это добавляет пикантности этой ситуации, правда? Ну всё, Макс. Иди доводи дело до ума и спать. А я ещё поплаваю...|Komisch, dass du mich in solchen Situationen immer noch Tante nennst.... Du solltest es aber weiter machen. Das macht die Situation noch heißer! Aber genug für heute, Max. Mach dein Geschäft fertig und geh schlafen, und ich gehe noch ein bisschen schwimmen....
		leave!max_cam.6.grow_350!sleep^					Но... Э... Ладно...|Aber... Ich... Okay...



# --- 0.3: Кира принимает ванну, ночная сцена e-kira-bath-night-1|Kira nimmt nachts ein Bad.

	kira.night.bath@121@<i>Только один человек может в это время не спать и плескаться в ванне. И человек этот - Кира!</i>|<i>Nur eine Person nimmt so spät ein Bad. Es ist Kira!</i>
		kira.night.bath.knock^			<i>постуч?ться</i>|<i>klopfen</i>
		kira.night.bath.enter^			<i>войти</i>|<i>eintreten</i>
		leave!lock^						<i>уйти</i>|<i>verlassen</i>

	kira.night.bath.knock@121@<b>Кира:</b> Кто там? Я принимаю ванну и абсолютно голая... Входите!|<b>Kira:</b> Wer ist da? Ich nehme ein Bad und bin absolut nackt.... Komm rein!
		kira.night.bath.enter^			<i>войти</i>|<i>eintreten</i>
		leave!lock^						<i>уйти</i>|<i>verlassen</i>

	kira.night.bath.enter@113@e-kira-bath-night-1@Я так и знала, что это ты, Макс... Чего хотел? Тут немножко занято...|Ich wusste, dass du es bist, Max.... Willst du etwas? Das Bad ist bereits belegt.
		can.fuckkira>0&kira.night.bath.enter.together.yes^		Может, вдвоём ванну примем?|Sollen wir zusammen baden?
		can.fuckkira=0&kira.night.bath.enter.together.no^		Может, вдвоём ванну примем?|Sollen wir zusammen baden?

	kira.night.bath.enter.together.no@103@Макс, ты ведёшь себя... некорректно. Я же твоя тётя...|Max, du solltest das nicht sagen. Ich bin deine Tante.
		kira.night.bath.enter.together.no.so^					И что?|Na und?

	kira.night.bath.enter.together.no.so@113@А то, что я очень устала, решила отдохнуть и тут ты докучаешь... Если хочешь в туалет, сходи, я не буду смотреть, возможно... Но лучше уходи, я правда устала...|Ich bin müde und will mich entspannen, hör auf, mich zu stören. Wenn du auf die Toilette musst, kannst du gehen, vielleicht schaue ich nicht mal hin. Aber du solltest gehen, ich bin wirklich müde....
		leave!sleep^											Ты права, извини, я тоже пойду спать...|Du hast Recht, es tut mir leid. Ich lasse dich in Ruhe.

	kira.night.bath.enter.together.yes@114@Идея очень соблазнительная... Но, Макс... Я сегодня очень устала и хотела бы побыть одна, если ты не против. Может быть, пойдёшь спать?|Ich mag diese Idee, aber ich bin wirklich müde und möchte einfach nur allein sein, wenn es dir nichts ausmacht. Könntest du schlafen gehen?
		kira.night.bath.enter.together.yes.2^					Хорошо, отдыхай! А я спать...|Okay, ich lasse dich in Ruhe.

	kira.night.bath.enter.together.yes.2@101@Ага. Спокойной ночи, Макс!|Okay. Gute Nacht, Max.
		leave!sleep^											Ага, спокойной ночи...|Gute Nacht



# --- 0.3: Разговор с Кирой после первого секса|Gespräch mit Kira nach dem ersten Sex

	kira.after.s.init@0@Я хотел поговорить о...|Ich wollte darüber reden....
	kira.after.s@101@Да я понимаю о чём. У тебя на лице всё написано. Что, понравилось? Хотя, это тоже написано... Так что ты хотел сказать?|Ja, ich kann sehen, worüber du reden willst. Also, hat es dir gefallen? Warte, das sehe ich auch.... Wie auch immer, willst du etwas sagen?
		kira.after.s.1^			Это было... это было...|Es war so.... so....!

	kira.after.s.1@113@Ага, это было и прошло. Надеюсь, ты не подумаешь, что теперь мы будем с тобой трахаться, как только тебе захочется, верно?|Ja, das war es. "War" ist der entscheidende Teil. Ich hoffe, du glaubst nicht, dass wir wie die Hasen ficken, wann immer du willst.
		kira.after.s.2a^		Верно...|Richtig...
		kira.after.s.2b^		А почему нет?|Warum nicht?

	kira.after.s.2b@101@Ну во-первых, это очень рискованно. Если нас заметят, то я поеду в гостиницу, а ты в военный лагерь. А во-вторых, хорошего помаленьку...|Nun, für den Anfang ist es viel zu riskant. Wenn wir geschnappt werden, muss ich ins Hotel und du ins Militärlager. Außerdem will ich dich nicht verwöhnen.
		kira.after.s.3^			И что, это всё?|Das war's also?

	kira.after.s.2a@101@Вот и молодец, смышлённый мальчик. Напоминаю: если нас заметит твоя мама или даже сёстры, то скорее всего я поеду жить в гостиницу, а ты в свой военный лагерь...|Ich bin froh, dass du die Situation verstehst. Aber für den Fall, dass wir erwischt werden, ziehe ich ins Hotel und du gehst ins Militärlager.
		kira.after.s.3^			И что, это всё?|Das war's also?

	kira.after.s.3@114@Ну почему... Если риск будет минимален, а желание максимально, то... всё может произойти. Главное, чтобы не было свидетелей... А так мне тоже очень понравился твой...|Nun.... Wenn das Risiko minimal und der Wunsch maximal ist.... Es kann alles passieren. Wenn niemand da ist, der uns erwischt. Und ich mochte deinen....
		kira.after.s.4a^		Темперамент?|Meine Einstellung?
		kira.after.s.4b^		Член?|Meinen Schwanz?

	kira.after.s.4a@112@Темперамент? Нет, я говорила про твой огромный член... Ой. Я это сказала вслух?|Deine Einstellung? Nein, ich sprach von deinem riesigen Schwanz.... Warte, habe ich es laut gesagt?
		kira.after.s.5^			Ага!|Ja!

	kira.after.s.4b@112@Я хотела сказать темперамент. Да, мне понравился именно он... Ну и член тоже, конечно!|Ich wollte deine Einstellung sagen. Ja, das habe ich gemeint.... Und deinen Schwanz auch.
		kira.after.s.5^			Супер!|Super!

	kira.after.s.5@101@Ну всё, Макс, хватит об этом. Не стоит размусоливать эту тему. Если получится ещё развлечься, то я буду рада.|Okay, Max, das reicht. Lass uns das Thema wechseln. Ich mache das gerne ein anderes Mal, wenn sich die Gelegenheit bietet.
		leave!set_poss.aunt_9!set_dcd.kiratalk_1^			Хорошо...|Schön


# --- 0.3: Разговор с Кирой насчёт поведения мамы (следующий, после разговора после секса)|Gespräch mit Kira über Anns Verhalten (nach dem Sex)

	kira.aboutmom.init@0@Что думаешь о поведении мамы?|Was hältst du von Moms Verhalten?
	kira.aboutmom@101@Оно тебя так беспокоит? Что-то случилось?|Was beunruhigt dich? Ist etwas passiert?
		kira.aboutmom.1^		Ты имеешь в виду кроме того, что её как подменили? Нет, ничего...|Du meinst, abgesehen von der Tatsache, dass Mom sich wie eine völlig andere Person verhält?

	kira.aboutmom.1@113@Понятно. Ну, Макс, у твоей мамы есть на то причины, ты же должен понимать...|Ich verstehe, wovon du sprichst. Max, du musst verstehen, dass deine Mom Gründe hat, sich so zu verhalten.
		kira.aboutmom.2^		Должен, но именно причины я и не понимаю|Das ist es, wovon ich spreche, <i>warum</i> verhält sie sich so?

	kira.aboutmom.2@101@Ну, тут всё сложно. А почему ты не допускаешь, что твоя мама могла просто влюбится в Эрика? Ты же знаешь, любовь слепа, и не такое бывает...|Es ist kompliziert. Warum kannst du nicht akzeptieren, dass deine Mom sich einfach in Eric verliebt hat? Weißt du, Liebe macht blind, all das Zeug....
		kira.aboutmom.3^		Да так не бывает!|So viel kann man nicht ändern!

	kira.aboutmom.3@113@Поверь, Макс, бывает всякое... Но ты прав, тут дело не только в Эрике... Я тебе расскажу как-нибудь, если твоя мама будет не против...|Nein, ist es nicht, Max. Aber du hast Recht, es geht nicht nur um Eric. Ich könnte dir diese Geschichte erzählen, wenn es deiner Mom nichts ausmacht.
