# --- Алиса спит|Alice schläft.

	alisa.eshow.6@21@e-eshow-6-1@Отличные трусики... Мне нравятся. А тебе, Эрик?|Hübsches Höschen.... Ich mag sie. Was meinst du, Eric?
		alisa.eshow.6.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.6.next.1@30@e-eshow-6-2@Блин, Эрик! Ты же пялишься на мои сиськи! Тебе не стыдно? Но в любом случае, спасибо. Мне трусики понравились. Красивые...|Komm schon, Eric! Du starrst auf meine Brüste! Schämst du dich nicht? Aber trotzdem danke, ich mochte das Höschen. Es ist süß.
		leave!lock^				<i>подонок!</i>|<i>Dieser Bastard!</i>


	alisa.eshow.7@9@e-eshow-7-1@<i>Что?! Алиса не стесняется при нём почти до гола раздеваться?! Блин, ну что за отстой! Крутит задницей перед ним как последняя шлюха. Как же я ненавижу Эрика...</i>|<i>Was!? Alice ist fast nackt direkt vor ihm! Sie zeigt ihm ihren Arsch wie eine Hure. Gott, ich hasse Eric so sehr....</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>


	alisa.eshow.8@23@e-eshow-8-1@Не поняла... А где мои трусики? Они же только что где-то здесь были...|Warte, wo ist mein Höschen? Es war genau hier....
		alisa.eshow.8.next.1^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.8.next.1@25@e-eshow-8-2@Эрик! Ну что за шутки? Куда дел мои трусы? Отдавай! А то я стою тут перед тобой как дура, прикрываюсь... |Soll das ein Witz sein, Eric? Gib mir mein Höschen zurück! Warum muss ich mich wie ein Idiot schützen?
		alisa.eshow.8.next.2^	<i>наблюдать</i>|<i>beobachten</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.eshow.8.next.2@87@Так не прикрывайся! Неужели, до сих пор меня стесняешься? Я уже всё видел, что нужно... Да и не брал я твои трусы. Упали куда-то... Можешь наклониться, поискать...|Dann bedecke dich nicht! Schämst du dich immer noch für mich? Ich habe schon alles gesehen.... Und ich habe dein Höschen nicht angefasst, sie sind wahrscheinlich irgendwo hingefallen.... Du solltest dich bücken und nach ihnen suchen....
		leave!lock^				<i>Да что же это такое!</i>|<i>Was zum Teufel ist das für eine Scheiße!?</i>



# --- 0.3: Эрик делает массаж Алисе|Eric's giving Alice a massage

	alisa.massx.low@8@e-mass-1@<i>Какого чёрта здесь происходит? Алиса совсем стыд потеряла - сняла свою майку и лежит почти голая, пока Эрик её лапает своими ручищами! Ну что за отстой!</i>|<i>Was zum Teufel ist hier los? Alice hat ihr Shirt ausgezogen und liegt jetzt fast nackt, während Eric sie überall betatscht! Das ist scheiße!</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>

	alisa.massx.high@9@e-mass-2@<i>Что?! Эрик ещё и джинсы снял?! Хорошо, хоть оба в трусах остались. Но что это за хрень? Нужно что-то предпринять, чтобы такого не было...</i>|<i>Was!? Jetzt hat er seine Hose ausgezogen? Wenigstens tragen sie beide Unterwäsche. Aber das ist völlig inakzeptabel, ich muss etwas tun.</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>



# --- 0.3: Эрик обучает Лизу за закрытой дверью|Eric unterrichtet Lisa hinter verschlossener Tür

	badteacher.door@121@<i>Кажется, там мама с Эриком и... Лизой? Интересно, о чём они разговаривают или чем занимаются? Если я попытаюсь заглянуть, то меня точно поймают! Эх...</i>|<i>Sieht aus, als wäre Mom bei Eric und.... Lisa? Ich schätze, das ist eine der Sexualkunde-Lektionen. Ich frage mich, was sie tun.... Ich werde geschnappt, wenn ich versuche, sie auszuspionieren, also habe ich keine andere Wahl als zu gehen....</i>
		leave!lock^				<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Алиса спит в 2 часа ночи, пока Катя курит на улице|2 Uhr morgens, Alice schläft, während Kate raucht.

	alisa.asleep@121@<i>Кажется, за дверью тихо. Может быть, заглянуть в окно?</i>|<i>Ich kann hinter der Tür nichts hören. Vielleicht sollte ich in das Fenster schauen?</i>
		girlz.sleep=0&alisa.asleep.v0^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.sleep=1&alisa.asleep.v1^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.sleep=2&alisa.asleep.v2^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.asleep.v0@4@n-as-1@<i>Хороша сестрёнка! Пока спит, можно её поразглядывать. Жаль, что темно...</i>|<i>Gott, sie ist heiß! Ich kann sie ansehen, so viel ich will, wenn sie schläft. Schade, dass es so dunkel ist....</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.asleep.v1@4@n-as-2@<i>Вау! Алиса спит с голыми сиськами! Прикольно. Вот бы их потрогать... Да точно разбужу... Да и Катя может вернуться...</i>|<i>Wow! Alice schläft ohne das Oberteil! Cool. Ich will sie so sehr berühren.... Aber dann wird sie aufwachen. Und Kate kann auch jeden Moment wiederkommen....</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.asleep.v2@4@n-as-3@<i>Ух! Алиса спит абсолютно голая! Вот это мне повезло... Как бы я хотел сейчас немного... полежать рядом... Но если проснётся... Да и Катя с минуты на минуту может вернуться...</i>|<i>Wow! Alice schläft völlig nackt! Ich bin so glücklich.... Wenn ich nur neben ihr liegen könnte.... Aber sie wird aufwachen und Kate kann jeden Moment wiederkommen....</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Алиса спит с Катей в 3 часа ночи|Kate und Alice schlafen um 3 Uhr morgens.

	alisa.ksleep@121@<i>Кажется, за дверью тихо. Может быть, заглянуть в окно?</i>|<i>Ich kann hinter der Tür nichts hören. Vielleicht sollte ich durch das Fenster schauen?</i>
		girlz.sleep=0&alisa.ksleep.v0^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.sleep=1&alisa.ksleep.v1^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.sleep=2&alisa.ksleep.v2^					<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.ksleep.v0@4@n-kas-1@<i>Ух, какие девочки! Вот бы мне между ними сейчас... Может быть однажды...</i>|<i>Sie sind so heiß! Ich wäre jetzt gerne unter ihnen.... Vielleicht eines Tages....</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.ksleep.v1@4@n-kas-2@<i>Прикольно! Они спят в одних трусах с голыми сиськами! Вот бы мне туда... Интересно, что будет, если они меня поймают? Кажется, ничего хорошего...</i>|<i>Sie schlafen ohne ihre Oberteile! Wenn ich nur bei ihnen sein könnte.... Aber ich will definitiv nicht von ihnen erwischt werden, also sollte ich gehen.</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

	alisa.ksleep.v2@4@n-kas-3@<i>Какие девочки, а! Абсолютно ничего не стесняются, валяются там голые в обнимку... Как я им завидую...</i>|<i>Sieh sie dir an! Absolut nackt, nackt nebeneinander liegend.... Ich bin so neidisch....</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>



# --- 0.4: У Алисы Катя|Kate visits Alice

	alisa.kate@121@<i>Кажется, Алиса там не одна. Стучаться не стоит... Может быть, заглянуть в окно?</i>|<i>Ich glaube, Alice ist jetzt nicht mehr allein. Ich denke nicht, dass ich klopfen sollte, aber was ist mit dem Blick durch das Fenster?</i>
		girlz.scene=0&ak.voy.0^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=1&ak.voy.1^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=2&ak.voy.2^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=3&ak.voy.3^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=4&ak.voy.4^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=5&ak.voy.5^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=7&ak.voy.7^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=8&ak.voy.8^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=9&ak.voy.9^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=10&ak.voy.10^						<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=11&ak.voy.11^						<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=12&ak.voy.12^						<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=13&ak.voy.13^						<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=14&ak.voy.14^						<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		girlz.scene=20&05.ths.0^						<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Подглядываем за девчонками в комнате. начальная сцена|Mädchen in ihrem Zimmer ausspionieren, 0. Szene

	ak.voy.0@120@n-kx-1@<i>К Алисе пришла подружка. Они что, просто разговаривают? Любопытно, они будут чем-нибудь интересным заниматься? Ой, лучше спрятаться, а то не похоже, что они будут рады меня увидеть...</i>|<i>Alice hat ein Mädchen hier. Was werden sie wohl tun? Ich glaube nicht, dass sie sich freuen würden, mich zu sehen, also sollte ich verschwinden.</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

# --- 0.4: Подглядываем за девчонками в комнате. 1-я сцена|Mädchen in ihrem Zimmer ausspionieren, 1. Szene

	ak.voy.1@120@n-kx-2@<i>У Алисы опять в гостях Катя. Похоже, они опять просто о чём-то болтают. А я думал, что будет что-то интересненькое... Видимо, не в этот раз. Ладно, пойду я, а то ещё и спалюсь на ровном месте...</i>|<i>Kate kam vorbei, um Alice wiederzusehen. Sieht aus, als würden sie nur wieder reden. Ich hatte gehofft, dass es etwas Aufregenderes geben würde.... Diesmal nicht, schätze ich. Ich sollte gehen, bevor sie mich erwischen.</i>
		leave!lock^										<i>уйти</i>|<i>verlassen</i>

# --- 0.4: Подглядываем за девчонками в комнате. 2-я сцена|Mädchen in ihrem Zimmer ausspionieren, 2. Szene

	ak.voy.2@120@n-kx-3@<i>Ух, какие аппетитные попки! Кажется, они что-то там читают, листают какие-то журналы. Интересно, это женские журналы про моду или может... эротические? Хотя, не, подружки такое вместе не читают... наверняка...</i>|<i>Diese Ärsche sind perfekt! Ich glaube, sie lesen einige Zeitschriften. Ich frage mich, ob es nur ein paar Modezeitschriften sind oder lesen sie etwas.... Erotisches? Ich bezweifle es, aber Freunde lesen so etwas nicht zusammen....</i>
