# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

	odn.war.begin.next.5@40@А вот это похоже на правду. Теперь всё сходится... Но не может быть, чтобы Алекс с Оливией был только из-за её трусов, а точнее из-за их отсутствия. Должно же быть что-то ещё?|Ich schätze, es macht Sinn.... Aber das würde Alex auch nur bei ihr bedeuten, weil sie kein Höschen trägt.
		odn.war.begin.next.6^				А она в тебе уже видит угрозу?|Sieht sie dich als Bedrohung?

	odn.war.begin.next.6@41@Нет, ты что. Я же как шпионка из того фильма... про шпионок! Я аккуратно всё разнюхиваю и делаю вид, что глупенькая дурочка. Но ухо держу востро!|Natürlich nicht. Ich bin wie ein Spion aus diesem Film.... dieser Spion. Ich versuche, Informationen zu bekommen, indem ich vortäusche, ein naiver Idiot zu sein.
		odn.war.begin.next.7^				Молодец, Лиза!|Das ist richtig!

	odn.war.begin.next.7@43@Спасибо, Макс. Ну, пока это всё, что удалось разузнать. Буду держать тебя в курсе.|Danke, Max. Nun, das ist alles, was ich erfahren habe. Ich halte dich auf dem Laufenden.
		leave!set_poss.swap_30!set_dcd.lizasp_3!set_lizasp_1!set_dcd.lizatalkswap_4^		Договорились!|Deal!



# --- 0.3: 2й разговор с Лизой насчёт возможности "одноклассник", путь войны с Оливией|Klassenkameradin, Route 2, 2. Gespräch

	odn.war.second.init@0@Что-нибудь ещё разузнала про эту Оливию?|Hast du etwas Neues über Olivia erfahren?
	odn.war.second@41@Ты знаешь, разузнала. И теперь всё стало понятно...|Ja, das habe ich. Jetzt ist alles klar.
		odn.war.second.next.1^				Рассказывай!|Sag es mir, sag es mir!

	odn.war.second.next.1@49@В общем, Оливия... очень богатая девочка. Точнее, у неё богатые родители. И мне почему-то кажется, что Алекс отчасти по этой причине с ней...|Olivia ist super reich, oder besser gesagt, ihre Eltern sind stinkreich. Ich denke, das ist zumindest ein Teil des Grundes, warum Alex bei ihr ist.
		odn.war.second.next.2a^				Насколько богатая?|So reich, was?
		odn.war.second.next.2b^				Думаешь, он с Оливией из-за денег?|Glaubst du, er geht mit ihr wegen des Geldes aus?

	odn.war.second.next.2a@40@Очень. У них тоже есть дом, совсем рядом со школой. А кто-то говорит, что у её папы даже телохранители есть, представляешь?|Ja. Ich habe gehört, dass ihr Vater sogar Leibwächter hat, kannst du dir das vorstellen?
		odn.war.second.next.2b^				Думаешь, он с Оливией из-за денег?|Glaubst du, er geht mit ihr wegen des Geldes aus?

	odn.war.second.next.2b@41@Ну не знаю... Но мне кажется, что девочка без трусов и комплексов, да ещё и с богатыми родителями, не оставляет мне никакого шанса на победу...|Ich weiß es nicht. Aber ich glaube nicht, dass ich mit einem so selbstbewussten und reichen Mädchen mithalten kann....
		odn.war.second.next.3^				Мы что-нибудь придумаем...|Wir werden es herausfinden!

	odn.war.second.next.3@46@Что, Макс? У нас же нет денег...|Wie, Max? Wir haben kein Geld.
		odn.war.second.next.4^				Мы можем сделать вид, что ты тоже богатая...|Wir können so tun, als ob.

	odn.war.second.next.4@40@Не поняла... Это как?|Was meinst du damit?
		odn.war.second.next.5^				У вас разрешены ювелирные украшения?|Ist Schmuck in Ihrer Schule erlaubt?

	odn.war.second.next.5@41@Ну, допустим. А где ты их возьмёшь?|Ja, aber wo bekommst du welche her?
		odn.war.second.next.6^				А это уже моя забота!|Das ist mein Problem, mach dir keine Sorgen.

	odn.war.second.next.6@43@Только не воруй, а то посадят, кто мне советы давать будет?|Schön, aber stiehl nichts. Wer gibt mir Ratschläge, wenn du ins Gefängnis gehst?
		odn.war.second.next.7^				Ну и шуточки у тебя, Лиза...|Danke, Schwesterherz...

	odn.war.second.next.7@41@Если твоя идея сработает и Алекс станет моим... Я буду очень счастлива!|Wenn deine Idee funktioniert und Alex meine wird.... Ich werde so glücklich sein!
		odn.war.second.next.8^				Тебе не кажется, что если парень с тобой из-за денег, то это отстой?|Denkst du nicht, dass Geld der falsche Grund ist, mit jemandem zusammen zu sein?

	odn.war.second.next.8@48@Говорят, все так поступают. Так что, чего тут бояться? Главное, что он будет со мной. Остальное - пустяки...|Jeder macht das. Die Hauptsache ist, er wird bei mir sein.
		leave!set_poss.swap_31!set_can.buyjewelry_1!set_dcd.lizatalkswap_5^		Ну, как знаешь...|Okay, ich denke....



# --- 0.3: 3й разговор с Лизой насчёт возможности "одноклассник", война с Оливией.|Klassenkameradin, Route 2, 3. Gespräch

	odn.war.eff.init@0@Ну как, есть эффект от украшений?|Also, irgendeine Wirkung von dem Schmuck?
	odn.war.eff@43@Ты знаешь, есть! Причём, какой-то неожиданный. Ко мне стали клеиться другие парни. Они что, все падкие на деньги, да?|Es gibt einen, aber unwillkommenen. Ein ganzer Haufen Kerle fing an, mich anzumachen. Sind sie alle nur gierig?
		odn.war.eff.man^					Тебе нужен нормальный парень, а не эти... альфонсы!|Du brauchst einen normalen Kerl statt all dieser Goldgräber.
		odn.war.eff.all^					Да, все современные парни отстой...|Ja, alle Typen sind scheiße.

	odn.war.eff.man@41@Нормальный? Как кто? Может быть, ты на кого-то намекаешь? Например, на себя?|Hast du jemanden im Sinn? Du selbst vielleicht?
		odn.war.eff.all.money^				Ну я то из-за денег не бегаю ни за кем...|Wenigstens bin ich nicht hinter dem Geld eines Mädchens her....

	odn.war.eff.all@41@Совсем совсем все? Ты же их возраста. Тоже себя к ним причисляешь?|Alle Jungs? Bist du nicht ein Teil von "Alle Jungs"?
		odn.war.eff.all.money^				Ну я то из-за денег не бегаю ни за кем...|Wenigstens bin ich nicht hinter dem Geld eines Mädchens her....

	odn.war.eff.all.money@48@Это верно. Даже вот мне даришь всякие штуки... Вот если бы ты не был моим братом, то такому парню я была бы рада!|Dem kann ich nicht widersprechen. Du gibst mir sogar Geschenke.... Zu schade, dass du mein Bruder bist, ich hätte gerne jemanden wie dich als Freund.
		odn.war.eff.all.money.be^			Так я готов!|Ich habe Recht und ich bin "jemand wie ich".

	odn.war.eff.all.money.be@41@Макс, ну что ты несёшь? Ты же мой брат! А я говорю о настоящем парне, с которым можно... всякое...|Max, wie kannst du das sagen? Du bist mein Bruder! Ich rede von einem echten Freund. Jemanden, mit dem ich.... Zeug.... machen könnte.
		odn.war.eff.all.money.be.me^		Так и со мной можно всякое!|Wir können auch eine Menge Sachen machen!

	odn.war.eff.all.money.be.me@43@Очень смешно, Макс! Ладно, проехали. В общем, твои подарки мне помогают. Спасибо тебе!|Sehr witzig, Max! Ich will nicht darüber reden. Ihre Geschenke sind eine große Hilfe, vielen Dank!
		leave!set_poss.swap_32!set_dcd.lizatalkswap_2^				Да не за что...|Gern geschehen...



# --- 0.3: 4й разговор с Лизой насчёт возможности "одноклассник", война с Оливией.|Klassenkameradin, Route 2, 4. Konversation

	odn.war.oli.init@0@Так что там с Оливией?|Irgendwas über Olivia?
	odn.war.oli@41@А что с нею должно быть?|What do you mean?
		odn.war.oli.next.1^					Ты избавилась от неё?|Bist du sie losgeworden?

	odn.war.oli.next.1@46@Нет. Она по прежнему с Алексом. Не знаю что ещё сделать... Может быть, ты посоветуешь что-то, Макс?|Nein. Sie ist noch bei Alex. Ich weiß nicht, was ich sonst noch tun könnte.... Vielleicht könntest du mir einen Rat geben?
