# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
# --- 0.11: Ответвление из периодического эвента с куни Алисе, где Анна ловит Макса и Алису

	11.db.0@68@b-tv-9@Что здесь происходит?! Алиса? Макс? Вы с ума сошли?|What the hell is going on here!? Alice? Max? Have you completely lost your minds?
		11.db.1^		Я, ну, мы...|Em, we're...

	11.db.1@26@b-tv-10@Мам, мы... Тренируемся перед следующим фильмом... Ты знаешь, Максу ещё есть куда учиться, вот я и подсказываю ему что и как делать...|We're... We were just practicing for the next movie. I was giving Max some pointers.
		11.db.2^		Да, точно!|Yeah, that's right!

	11.db.2@62@Алиса, но вас же может увидеть Лиза, ты представляешь что будет? Кроме того, я бы не сказала, что у Макса плохо получается...|And how would you explain the situation to Lisa if she was you? Besides, Max is pretty good already.
		11.db.3^		Спасибо, мам...|Thanks, mom

	11.db.3@21@Ну ты же знаешь про наши отношения с Катей, мне есть с чем сравнивать... Если мы на экране будем более убедительны, то фильм будет более популярен, верно?|You know about my relationships with Kate, I know what I'm talking about... The better we all are, the better our movies will be, right?
		11.db.4^		Отличная мысль...|Yes

	11.db.4@62@b-tv-11@Так, ладно, я сделаю вид, что ничего не видела, а вы быстро одевайтесь и прекращайте. Вас может увидеть Лиза! Без разговоров!|Okay, I'm going to pretend I didn't see anything. Get dressed before Lisa saw anything!
		11.db.5^		Хорошо, мам...|Okay, mom

	11.db.5@22@b-tv-6@Она ушла? Да, не очень хорошо получилось... Но и не так плохо, как я думала... Кто бы подумал, что наша строгая мама после такого не будет кричать...|Did she leave? That wasn't very nice, but... It went <i>a lot</i> better than I expected. She didn't even yell at us. Maybe she didn't want Lisa hear anything... But she didn't say anything about any punishment either!
		11.db.6^		Ну мы через многое прошли...|We've come a long way...

	11.db.6@21@Верно... Но лучше её не злить. Давай на сегодня закончим, а то что-то вдруг расхотелось...|Yeah... Still, we shouldn't piss her off. Let's wrap this up for today. I lost the mood anyway.
		11.db.7^		Но в следующий раз твоя очередь!|Okay, but it's your turn next time!

	11.db.7@25@Да ладно, ладно... Но если мама нас и на этом поймает, то я даже не знаю... Скажешь, что я плохо сосала и мне надо тренироваться?|Schön, schön. Can you imagine if she catches us doing that? Are you going to tell her I need blowjob lessons?
		11.db.8^		Придумаю что-нибудь!|Me being good didn't stop you telling otherwise... We'll figure it out
		11.db.8^		Что ты. Как ты - никто не сосёт!|No, you're the best, sis!

	11.db.8@21@Ну хорошо... Всё, кажется, она возвращается, иди!|I guess... I think she's coming back, go!
		leave!set_atv_4!add_it1_1!max_cam.4.grow_300!time^		Ага...|Okay



# --- 0.11: Ответвление из периодического эвента с минетом у ТВ

	11.db.9@68@b-tv-1@Да что же это такое! Опять?! Так, а что на этот раз? Тоже тренируетесь перед фильмом?|Was? Again!? What now? Another training for the movie?
		11.db.10^		Э...|Em...

	11.db.10@26@b-tv-3@Мам, ну Макс столько тренировался на мне, старался... И я решила его отблагодарить за это... К тому же, лишний опыт - не лишний...|Well, Max had so much practice, it was only fair to repay in kind... Besides, there's no such thing as being too good, you know.
		11.db.11^		Вот, да...|Yeah, what she said

	11.db.11@62@b-tv-2@Вы вообще понимаете, что в этом доме не одни? А если вас Лиза заметит? Будете ей про фильмы рассказывать? Совсем не думаете... Поднялись бы в комнату...|And what if Lisa catches you? Are you going to tell her about the movies too? Can't you do it in your room...
		11.db.12^		Мам, мы почти закончили...|We're almost done, mom

	11.db.12@63@b-tv-4@Нет, Макс. Вы закончили! Давай натягивай шорты и сбрось своё напряжение... как-нибудь иначе. Нельзя этим заниматься... вот так...|No, Max. You <b>are</i> done. Pull on your shorts and go... relieve your pressure... somehow... You can't do it like this.
		leave!set_atv_3!add_it2_1!max_cam.4.grow_300!time^		Эх... Ну ладно мам...|Okay, mom...



# --- 0.11: Мама второй раз ловит Макса и Алису (куни)

	11.db.13@68@b-tv-9@Что? Опять?! Макс! Алиса! Ну что вы тут устроили? Если и делаете это, то где-то, где вас не увидит Лиза! Нельзя же вот так, у всех на виду... Совсем стыд потеряли...|Was? Again!? Max! Alice! Don't do this here, Lisa might see you! You can't just... Do you have any shame at all...?
		11.db.14^		Но...|We were just...

	11.db.14@21@b-tv-10@Мам... Я смотрю по сторонам, никто нас не увидит!|I'm on a lookout, mom, no one's going to see us!
		11.db.15^		Но мама как-то подкралась...|Mom did...

	11.db.15@22@Я просто... отвлеклась... Извини, мам, мы будем осторожнее...|I was just... distracted... I'm sorry, mom, we'll be more careful.
		11.db.16^		Да, точно!|Yes!

	11.db.16@62@b-tv-11@Ладно, вы тут заканчивайте поскорее, а я послежу, чтобы Лиза вас не увидела...|Fine, finish up quickly, I'm going to make sure Lisa doesn't go here.
		11.db.17^		О, супер!|Super! Thanks, mom!
