# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
	06.erka.13@87@Ты сдурел? Решил порвать мать, а потом что скажем? Так получилось? Думай своей головой!|Hast du den Verstand verloren? Hast du dich entschieden, deine Mom in zwei Hälften zu reißen? Wie sollen wir das erklären? Benutz deinen Kopf!
		06.erka.14^		Но всё равно, я хочу чего-то ещё!|Ist mir egal, mach es möglich!

	06.erka.14@81@Да уж. Повезло мамаше с сыночком... Я не знаю даже что тебе предложить. Ну давай ты её полапаешь везде, где захочешь, может быть не попадёмся. Это тебя устроит?|Wow. Deine Mom ist so glücklich, dich zu haben.... Ich weiß nicht, was ich dir noch sagen soll. Ich schätze, du kannst sie anfassen, wann immer du willst, ist das gut?
		06.erka.15^		Ладно, для начала и это сойдёт!|Schön, es reicht fürs Erste.
		06.erka.15b^	Нет, хочу её трахнуть!|Nein, ich will sie ficken!

	06.erka.15b@87@Ясно. Ты безнадёжен. Я предлагаю тебе единственно возможный вариант, при котором не получим оба по шее. Соглашайся на него или я не знаю, сам убеждай свою мать.|Ich verstehe. Es gibt keine Hoffnung für dich. Ich gebe dir die einzige Möglichkeit, wo wir keinen Ärger bekommen. Entweder du nimmst es, oder du kannst deine Mom selbst überzeugen.
		06.erka.15^		Ладно, для начала и это сойдёт!|Schön, es genügt fürs Erste

	06.erka.15@81@Для начала? Вот ты неугомонный... Ладно. План тот же, что и раньше. Когда увидишь, что мы заняты, я дам тебе сигнал, войдёшь в комнату. Затем, я её разверну и подойдёшь ты, изображая меня, сможешь потрогать что ты там хочешь...|Fürs Erste? Du bist hoffnungslos.... Gut. Gleicher Plan, warte und auf mein Signal kannst du den Raum betreten. Ich bringe sie in die richtige Position und du wirst alles berühren, was du willst wie ich.
		06.erka.16^		Ага, подходит!|Ja, schick

	06.erka.16@87@Ну всё. Надеюсь, этого тебе хватит...|Ich hoffe, das reicht....
		leave!set_ertype_5!set_poss.control_7^			Конечно!|Sicher



# --- 0.6: Макс хочет ещё больше|erictalk Max will noch mehr

	06.erka.17@80@Даже слышать ничего не хочу. Ты получил всё, о чём мы договаривались!|Ich will es nicht hören. Du hast alles, worauf wir uns geeinigt haben!
		06.erka.18^		Да, но...|Ja, aber...

	06.erka.18@87@Макс, я конечно сразу понял, что ты хочешь её трахнуть, но как ты себе это представляешь? Думаешь, она не заметит подмены? Типа «ой, Эрик, что-то у тебя подрос?» Так, что ли?|Ich verstehe, dass du sie ficken willst, Max, aber wie wird es wohl laufen? Denkst du wirklich, sie wird den Unterschied nicht bemerken? Wie "Hey, Eric, du bist gewachsen" oder so?
		06.erka.19^		Ну я не знаю, придумай что-нибудь!|Ich weiß nicht, denk dir was aus!

	06.erka.19@81@А если придумаю, ты отстанешь или будешь всё время требовать всё больше и больше?|Und wenn ich das tue, fragst du wieder nach mehr? Und dann wirst du immer mehr verlangen?
		06.erka.20^		Если ты придумаешь, как мне это сделать, то всё, отстану точно!|Wenn dir was einfällt, lass ich dich in Ruhe!

	06.erka.20@80@Ладно, я подумаю. Но ничего не обещаю. Это не просто полапать сиськи, пока у неё завязаны глаза...|Gut, mir fällt schon was ein. Aber ich verspreche nichts. Das ist nicht irgendeine Pussy, die du da verlangst....
		06.erka.21^		Ну думай...|Denke nach

	06.erka.21@81@А где гарантия, что ты потом не захочешь, чтобы она ещё и смотрела кто её дерёт, а?|Und wo ist die Garantie, dass du sie nicht fragen wirst, wer sie danach fickt?
		06.erka.22^		Ну даю слово...|Ich gebe dir mein Wort.
		06.erka.22b^	А так можно?|Kann man das machen?

	06.erka.22b@87@У меня нет слов, Макс... Кстати, я ничего ещё не пообещал, так что думаю, что закрываем эту тему...|Ich habe keine Antwort darauf, Max. Und ich habe noch nichts versprochen, also lass uns aufhören darüber zu reden.
		06.erka.22^		Ладно, даю слово, что не потребую чего-то такого...|Okay. Ich verspreche, ich werde nicht nach so etwas fragen.

	06.erka.22@81@Да уж, твоё слово всё меняет. Ты и ранее говорил, что тебе надо лишь смотреть, потом трогать... Ну ладно. Лично я вижу всего два варианта. А нет, три.|Ja, weil dein Wort so wertvoll ist. Wie damals, als du mir gesagt hast, dass du nur zuschauen willst, oder wie du mir gesagt hast, dass du nur anfassen willst.... Aber gut. Ich sehe zwei Möglichkeiten. Nein, warte, drei.
		06.erka.23^		Какие?|Ich höre

	06.erka.23@86@Первый: ты забываешь об этом и идёшь дрочишь на свои фантазии... Да, предвижу, что тебе покажется, что это не вариант. Поэтому, сразу перейду ко второму.|Option eins: Du vergisst dieses Gespräch und holst dir einen runter. Ich schätze, du magst diese Option nicht, also gehe ich zu Option zwei.
		06.erka.24^		Очень смешно...|Ha-ha

	06.erka.24@87@Можно попробовать её как-то обмануть с помощью большой игрушки. Ну там сначала трахнуть её резиновым членом, а потом ты нарисуешься... Но я не знаю. Мне кажется, что женщина разницу должна сразу заметить. Рисковано...|Wir können versuchen, sie mit einem großen Spielzeug auszutricksen. Ich meine, erst ficke ich sie mit einem Dildo und dann bist du dran. Aber ich glaube nicht, dass es funktionieren wird, sie sollte sofort den Unterschied zwischen einem Spielzeug und deinem Schwanz erkennen. Es ist zu riskant.
		06.erka.25^		Но можно же попытаться?|Aber wir können es versuchen, oder?

	06.erka.25@81@Можно то можно, но... У меня нет такой игрушки и как потом объяснить зачем я её купил для неё? Сплошные вопросы... Ох, попадёмся...|Wir können, aber.... Ich habe kein solches Spielzeug und keine Erklärung, warum ich ihr eins kaufen würde. Oder ob wir geschnappt werden. Ich mag diese Option nicht so sehr, wie du die erste nicht magst.
		06.erka.26^		Ну а третий вариант?|Und die dritte Möglichkeit?

	06.erka.26@86@Третий... Это если сделать всё с её согласия. Подготовить морально, как-то обыграть, ну я не знаю, в рамках секс-образования или ещё что-то. Думаю, шансы на успех минимальные...|Die dritte Möglichkeit ist, alles mit ihrer Zustimmung zu tun. Sie dazu überreden, ich weiß nicht, vielleicht wie ein Sexualstraftäter oder so was. Ich glaube auch nicht, dass wir hohe Erfolgschancen haben.
		06.erka.27^		Даже не представляю как это возможно...|Ich kann mir nicht vorstellen, wie es möglich sein könnte.

	06.erka.27@87@Да всё возможно, Макс. Сила убеждения, пара особых препаратов для стимуляции, подходящая ситуация и большое возбуждение... Но ведь потом она всё это начнёт обдумывать и кто знает, какие выводы сделает...|Alles ist möglich, Max. Überzeugungsarbeit, einige Medikamente, um sie zu stimulieren, richtige Situation, sie ist sehr erregt.... Das Problem ist, was wird sie am nächsten Tag denken.
